,Sunrise 3:30a-9:30a,Totals
Totals,75675,75675
P01,3422,3422
P02,780,780
P03,no data,0
P04,1220,1220
P05,1536,1536
P06,1363,1363
P07,926,926
P08,1482,1482
P09,1610,1610
P10,980,980
P11,736,736
P12,1981,1981
P13,1079,1079
P14,2392,2392
P15,945,945
P16,579,579
P17,1317,1317
P18,1758,1758
P19,804,804
P20,1493,1493
P21,1365,1365
P22,1721,1721
P23,1307,1307
P24,924,924
P25,1261,1261
P26,1365,1365
P27,774,774
P28,1399,1399
P29,922,922
P30,1326,1326
P31,888,888
P32,1398,1398
P33,1214,1214
P34,2776,2776
P35,1447,1447
P36,1429,1429
P37,1233,1233
P38,1432,1432
P39,1508,1508
P40,1325,1325
P41-A,no data,0
P42,1434,1434
P43-A,no data,0
P44,2223,2223
P45-A,no data,0
P46-A,no data,0
P45-B,1030,1030
P46-B,3440,3440
DA02,405,405
RC01,no data,0
RC02,no data,0
RC03,no data,0
RC04-A,no data,0
RC04-B,2627,2627
P41-B,3102,3102
P43-B,3337,3337
RC03-B,786,786
RC02-B,2744,2744
RC01-B,834,834
IDS 101,33,33
IDS 102,35,35
IDS 103,26,26
IDS 104,no data,0
IDS 105,22,22
IS01D,31,31
IDS 107,26,26
IDS 108,27,27
IDS 109,5,5
IDS 110,28,28
IDS 201,22,22
IDS 202,16,16
IDS 203,9,9
IDS 204,no data,0
IDS 205,9,9
IDS 207,no data,0
IDS 208,no data,0
IDS 209,3,3
IDS 210,4,4
